epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,238.373,1.26102,2.14988,1.48266,0.72848,0.65526,0.72396,0.40644,1.24301,2.01523,1.44582,0.000554514,0.000554514,0.000554514
2,448.932,1.29752,1.78926,1.51025,0.77605,0.73406,0.79515,0.51281,1.10515,1.77301,1.27857,0.00101859,0.00101859,0.00101859
3,651.962,1.09178,1.54923,1.37502,0.76842,0.73496,0.79609,0.55413,1.1771,1.61077,1.45807,0.00139098,0.00139098,0.00139098
4,852.167,1.03337,1.35447,1.33321,0.84539,0.74118,0.84079,0.59009,1.12492,1.34925,1.38183,0.00125442,0.00125442,0.00125442
5,1054.11,0.9606,1.1885,1.27646,0.76626,0.87802,0.88194,0.62599,1.04864,1.12815,1.25615,0.00111689,0.00111689,0.00111689
6,1267.39,0.89688,1.06735,1.21614,0.84648,0.82259,0.84067,0.59648,1.02036,1.08999,1.24629,0.000979362,0.000979362,0.000979362
7,1489.39,0.84383,0.95126,1.18922,0.85717,0.85238,0.89339,0.68226,0.94376,0.93103,1.1494,0.000841835,0.000841835,0.000841835
8,1734.17,0.82773,0.85764,1.16187,0.9033,0.88969,0.92883,0.69729,0.93842,0.82581,1.14904,0.000704307,0.000704307,0.000704307
9,1951.17,0.77408,0.7932,1.12608,0.90868,0.88831,0.91687,0.7111,0.88945,0.82307,1.11183,0.00056678,0.00056678,0.00056678
10,2234.31,0.7346,0.73804,1.10546,0.90681,0.84805,0.9301,0.75339,0.79995,0.74238,1.04727,0.000429253,0.000429253,0.000429253
11,2471.15,0.68884,0.66989,1.08079,0.91132,0.90561,0.93418,0.74371,0.81184,0.69991,1.03487,0.000291725,0.000291725,0.000291725
12,2689.69,0.65103,0.61185,1.0518,0.95866,0.90753,0.95227,0.76792,0.74905,0.62499,1.00858,0.000154198,0.000154198,0.000154198
